"id"	"item_id"	"reviewer name"	"reviewer twitter"	"rating"	"quality score"	"created at"	"review"
"1"	"353"	"stephaniah"	"stephaniah"	""	"0"	"2009-07-14 23:04:50 UTC"	"Good idea, but don't know how much I would use it. "
"6"	"848"	"Mike Gunderloy"	"MikeG1"	""	"0"	"2009-07-16 18:11:32 UTC"	"Great application - I use it weekly to get rid of people who no longer find me interesting as well as those who seem to have given up tweeting. All the more essential now that Twitter has made it harder to tell in the follower list who is a mutual followe"
"7"	"925"	"Real Zach Brock"	"brockstar"	""	"0"	"2009-07-21 17:29:27 UTC"	"A really solid and simple twitter client for the iPhone.  I've tried a bunch of other fancy ones but I keep coming back to Twitterfon because it has all the features I want, a clean UI and the right price tag."
"8"	"929"	"Real Zach Brock"	"brockstar"	""	"0"	"2009-07-21 17:31:59 UTC"	"An ok Twitter client for firefox. Not as full featured as some of the other desktop apps or the iphone apps, but convenient to have all your tweets in the browser."
"9"	"353"	"Real Zach Brock"	"brockstar"	""	"0"	"2009-07-21 17:34:45 UTC"	"Totally awesome service.  Posting stuff to your personal posterous, facebook, twitter, flickr, tumblr, etc etc is drop dead simple.  Just send an email to post@posterous.com to get started.  A great user experience, a surprisingly full featured service an"
"11"	"302"	"tj sondermann"	"sondernagle"	""	"1"	"2009-07-29 16:46:58 UTC"	"I've tried tons of native mac clients (and all the non-native AIR apps as well) and I always come back to Nambu.

It's still in development and I wish they released updates on a faster schedule, but it has most everything I want in a client (multiple ac"
"12"	"802"	"Kevin Makice"	"kmakice"	"5"	"1"	"2009-07-30 16:16:07 UTC"	"Despite the number of applications in the field of trending topics and mining news, Twitscoop remains a very unique experience and aggregation service. Beyond the web site, I love their use of Twitter accounts to report new topics and engage their communi"
"13"	"485"	"Kevin Makice"	"kmakice"	"5"	"2"	"2009-07-30 16:19:42 UTC"	"Topify was a great innovation for the Twitter ecosystem, predating Twitter's own attempt to improve their email notification. The topify emails include most of the information I would use to make an initial judgment about returning a follow, saving me a t"
"14"	"925"	"figital"	"figital"	""	"0"	"2009-07-31 19:50:54 UTC"	"Likely the application I use the most on my iPhone. Nice color scheme, easy to learn."
"15"	"191"	"Kathleen Forden"	"kforden"	"5"	"0"	"2009-08-01 16:52:49 UTC"	"I love Hoot Suite - the V 2.0 just rocks and the interface is easy and simple to use.  I would recommend it to all.

It doesn't send autoresponders to follows, but at this rate canned DMs feel like spam at times anyway."
"16"	"1074"	"Kathleen Forden"	"kforden"	""	"0"	"2009-08-01 16:58:58 UTC"	"Great app for the BB.  Ease of use and simple interface make it actually fun.  Productivity rocks when I use it as I read hundreds of feeds each day.

They do occasionally have issues with their website and logging in to remove feeds.  Does a .Net devel"
"17"	"323"	"Kathleen Forden"	"kforden"	"5"	"1"	"2009-08-01 17:20:40 UTC"	"Peekr is a very cool app that allows you to see what is behind the white scrolling boxes from Twitter.  

See the real personality of the folks you are following by peeking behind the text.

I love it!"
"18"	"1070"	"Kathleen Forden"	"kforden"	"4"	"2"	"2009-08-01 17:40:25 UTC"	"Easy to use app that allows you to remove dormant followers.  Allows you to see list and deselect ones you still want to follow even though they don't post as often as monthly."
"19"	"580"	"Bill Shander"	"billshander"	""	"0"	"2009-08-04 13:25:53 UTC"	"Love it - use it on desktop and iPhone.  My ONLY complaint is that I wish it would load Tweets on the iPhone in reverse chronological order (which it does) but then scroll me to the bottom of the list so I can work my way UP the list - reading a conversat"
"20"	"602"	"Tim Whitlock"	"timwhitlock"	""	"0"	"2009-08-06 10:54:05 UTC"	"I bought this instead of using the free Twiterfon app, and was pleased to discover that it is indeed superior.

The best feature over Twitterfon is Tweetie's support for multiple accounts. The saved search tool is great too."
"21"	"675"	"Tim Whitlock"	"timwhitlock"	""	"0"	"2009-08-06 10:59:34 UTC"	"I switched to Twhirl because TweetDeck was killing my laptop. TweetDeck is bloated with too many features.  Twhirl is perfect for all-day use where you just want it there in the background. It's light weight, and its compact UI does pretty much everything"
"22"	"604"	"Michael D. Ivey"	"ivey"	"5"	"0"	"2009-08-23 03:38:00 UTC"	"I didn't think I needed a desktop client, until I heard Tweetie was coming to Mac. Then I knew I'd been missing it all along.

If you have a Mac, download it. Then pay for it, and leave the ads turned on, because they're pretty."
"23"	"602"	"Michael D. Ivey"	"ivey"	"5"	"0"	"2009-08-23 04:34:29 UTC"	"Best Twitter client I've ever used on any platform. I love it."
"24"	"474"	"Well Wishes"	"wellwishes"	""	"0"	"2009-09-03 21:29:38 UTC"	"A sad note that TipJoy no longer exists. "
"25"	"602"	"Ingo Muschenetz"	"bingomar"	""	"0"	"2009-09-04 17:15:06 UTC"	"Simple and elegant. Perfect for keeping your eye on Twitter without taking up too much space on the desktop."
"26"	"1206"	"Michael D. Ivey"	"ivey"	""	"0"	"2009-09-05 00:18:17 UTC"	"Does what it says on the tin."
"27"	"602"	"Joshua Porter"	"bokardo"	""	"0"	"2009-09-07 10:07:44 UTC"	"Tweetie is a great client for Twitter on the iPhone. Simple, allows for multiple accounts, and prioritizes the right things (stream, @replies, @directs) 

The reason why I didn't give it 5 stars is that every so often it takes several times to connect.."
